ID,WEEK,WOUND_TYPE,NAME,TOTAL_WOUND_AREA,WOUND_COUNT,AVG_WOUND_AREA,ACTIVE_STATUS,DW_CREATED_BY,DW_UPDATED_BY,DW_CREATION_TIMESTAMP,DW_UPDATED_TIMESTAMP
11569,Week 0,Diabetic Foot Ulcer,Avelle NPWT,367.5,9,1,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11570,Week 0,Diabetic Foot Ulcer,Aquacel Foam Pro,55.74,6,1,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11571,Week 0,Diabetic Foot Ulcer,Duoderm ET,318.11,37,1,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11572,Week 0,Diabetic Foot Ulcer,Aquacel Foam Lite,63.78,17,1,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11573,Week 1,Diabetic Foot Ulcer,Duoderm CGF,676.5,17,2.493712984,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11574,Week 1,Diabetic Foot Ulcer,Saf-Gel,508.4,12,3.202716323,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11575,Week 1,Diabetic Foot Ulcer,Flexi-DRESS,294.75,4,9.765813253,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11576,Week 1,Diabetic Foot Ulcer,Duoderm Gel,936.5,26,2.454940803,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11577,Week 1,Diabetic Foot Ulcer,Duoderm ET,440,14,3.65551898,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11578,Week 1,Diabetic Foot Ulcer,Avelle NPWT,268.4,4,1.643265306,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11579,Week 1,Diabetic Foot Ulcer,Aquacel Foam Lite,9.15,2,1.219426152,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11580,Week 1,Diabetic Foot Ulcer,Aquacel Foam,655.85,24,1.994025421,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11581,Week 1,Diabetic Foot Ulcer,Aquacel Extra,2.25,3,0.7936507937,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11582,Week 1,Diabetic Foot Ulcer,Aquacel Ag+ Extra,1079.03,38,2.157849324,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11583,Week 1,Diabetic Foot Ulcer,Aquacel Ag Foam,334.15,5,4.96240442,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11584,Week 2,Diabetic Foot Ulcer,Aquacel Foam,463.38,20,1.690614927,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11585,Week 2,Diabetic Foot Ulcer,Avelle NPWT,54,1,1.32244898,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11586,Week 2,Diabetic Foot Ulcer,Duoderm CGF,156.38,13,0.7538161602,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11587,Week 2,Diabetic Foot Ulcer,Duoderm ET,94.59,11,1.000177183,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11588,Week 2,Diabetic Foot Ulcer,Duoderm Gel,462.63,20,1.576559576,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11589,Week 2,Diabetic Foot Ulcer,Aquacel Foam Lite,0,1,0,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11590,Week 2,Diabetic Foot Ulcer,Duoderm Signal,15,1,1.8,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11591,Week 2,Diabetic Foot Ulcer,Flexi-DRESS,33.75,2,2.236445783,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11592,Week 2,Diabetic Foot Ulcer,Saf-Gel,412.88,17,1.835984888,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11593,Week 2,Diabetic Foot Ulcer,Aquacel Extra,2.09,3,0.7372134039,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11594,Week 2,Diabetic Foot Ulcer,Aquacel Ag Foam,300.38,8,2.788057459,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11595,Week 2,Diabetic Foot Ulcer,Aquacel Ag+ Extra,656.61,36,1.386041344,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11596,Week 3,Diabetic Foot Ulcer,Saf-Gel,267.88,14,1.446460012,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11597,Week 3,Diabetic Foot Ulcer,Aquacel Extra,2.16,3,0.7619047619,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11598,Week 3,Diabetic Foot Ulcer,Duoderm Gel,254.38,18,0.9632012743,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11599,Week 3,Diabetic Foot Ulcer,Flexi-DRESS,18.75,2,1.24246988,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11600,Week 3,Diabetic Foot Ulcer,Duoderm Signal,15,1,1.8,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11601,Week 3,Diabetic Foot Ulcer,Aquacel Ag Foam,208.58,9,1.720881031,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11602,Week 3,Diabetic Foot Ulcer,Aquacel Ag+ Extra,432.64,30,1.095914337,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11603,Week 3,Diabetic Foot Ulcer,Aquacel Foam,339.98,21,1.181330684,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11604,Week 3,Diabetic Foot Ulcer,Aquacel Foam Lite,0,1,0,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11605,Week 3,Diabetic Foot Ulcer,Duoderm CGF,163.38,13,0.7875590501,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11606,Week 3,Diabetic Foot Ulcer,Duoderm ET,42.66,11,0.4510789578,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11607,Week 4,Diabetic Foot Ulcer,Saf-Gel,173.71,12,1.094303408,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11608,Week 4,Diabetic Foot Ulcer,Aquacel Foam Lite,0.4,1,0.1066164942,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11609,Week 4,Diabetic Foot Ulcer,Aquacel Ag Foam,95.09,4,1.76520663,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11610,Week 4,Diabetic Foot Ulcer,Duoderm Gel,307.94,16,1.311754955,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11611,Week 4,Diabetic Foot Ulcer,Duoderm ET,22.91,7,0.3806724538,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11612,Week 4,Diabetic Foot Ulcer,Aquacel Foam,260.54,19,1.000594744,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11613,Week 4,Diabetic Foot Ulcer,Aquacel Extra,2.16,3,0.7619047619,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11614,Week 4,Diabetic Foot Ulcer,Aquacel Ag+ Extra,410.57,27,1.155565698,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11615,Week 4,Diabetic Foot Ulcer,Duoderm CGF,207.94,12,1.085886367,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11616,Week 4,Diabetic Foot Ulcer,Avelle NPWT,7.4,2,0.0906122449,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11617,Week 5,Diabetic Foot Ulcer,Duoderm Gel,168.173,11,1.042005898,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11618,Week 5,Diabetic Foot Ulcer,Aquacel Ag Foam,136.63,5,2.029068729,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11619,Week 5,Diabetic Foot Ulcer,Aquacel Ag+ Extra,281.083,20,1.068011128,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11620,Week 5,Diabetic Foot Ulcer,Aquacel Extra,2.16,3,0.7619047619,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11621,Week 5,Diabetic Foot Ulcer,Aquacel Foam,225.173,14,1.173615098,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11622,Week 5,Diabetic Foot Ulcer,Duoderm CGF,144.63,10,0.9063292021,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11623,Week 5,Diabetic Foot Ulcer,Duoderm ET,14.91,7,0.2477444909,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11624,Week 5,Diabetic Foot Ulcer,Saf-Gel,210.13,12,1.323734817,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11625,Week 5,Diabetic Foot Ulcer,Duoderm Signal,15,1,1.8,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11626,Week 6,Diabetic Foot Ulcer,Aquacel Ag Foam,154.94,4,2.876234254,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11627,Week 6,Diabetic Foot Ulcer,Aquacel Ag+ Extra,318.22,23,1.051406914,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11628,Week 6,Diabetic Foot Ulcer,Aquacel Extra,0.18,1,0.1904761905,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11629,Week 6,Diabetic Foot Ulcer,Aquacel Foam,290.54,16,1.325022824,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11630,Week 6,Diabetic Foot Ulcer,Duoderm CGF,135.44,11,0.7715815726,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11631,Week 6,Diabetic Foot Ulcer,Duoderm ET,10.68,7,0.1774588305,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11632,Week 6,Diabetic Foot Ulcer,Duoderm Gel,129.44,10,0.882216335,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11633,Week 6,Diabetic Foot Ulcer,Saf-Gel,248.44,10,1.878086963,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11634,Week 7,Diabetic Foot Ulcer,Aquacel Extra,1,1,1.058201058,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11635,Week 7,Diabetic Foot Ulcer,Aquacel Foam,241.88,14,1.260692978,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11636,Week 7,Diabetic Foot Ulcer,Aquacel Ag Foam,147.13,10,1.092501215,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11637,Week 7,Diabetic Foot Ulcer,Aquacel Ag+ Extra,309.13,23,1.021373324,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11638,Week 7,Diabetic Foot Ulcer,Aquacel Foam Lite,0,1,0,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11639,Week 7,Diabetic Foot Ulcer,Duoderm CGF,225.13,12,1.175654505,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11640,Week 7,Diabetic Foot Ulcer,Duoderm ET,21.25,4,0.6179073277,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11641,Week 7,Diabetic Foot Ulcer,Duoderm Gel,172.88,11,1.071170637,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11642,Week 7,Diabetic Foot Ulcer,Flexi-DRESS,25,2,1.656626506,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11643,Week 7,Diabetic Foot Ulcer,Saf-Gel,225.38,10,1.703764449,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11644,Week 8,Diabetic Foot Ulcer,Duoderm Gel,111.69,8,0.9515484246,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11645,Week 8,Diabetic Foot Ulcer,Aquacel Ag Foam,61.94,8,0.5749127072,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11646,Week 8,Diabetic Foot Ulcer,Saf-Gel,115.44,8,1.090838628,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11647,Week 8,Diabetic Foot Ulcer,Duoderm ET,4,1,0.4652478702,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11648,Week 8,Diabetic Foot Ulcer,Duoderm CGF,138.69,11,0.7900963401,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11649,Week 8,Diabetic Foot Ulcer,Aquacel Foam Lite,0,1,0,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11650,Week 8,Diabetic Foot Ulcer,Aquacel Foam,122.69,10,0.8952546306,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11651,Week 8,Diabetic Foot Ulcer,Aquacel Ag+ Extra,146.69,16,0.6967094787,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11652,Week 9,Diabetic Foot Ulcer,Saf-Gel,172.94,6,2.178905433,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11653,Week 9,Diabetic Foot Ulcer,Aquacel Ag Foam,162.94,9,1.344330018,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11654,Week 9,Diabetic Foot Ulcer,Aquacel Ag+ Extra,246.69,17,1.102741749,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11655,Week 9,Diabetic Foot Ulcer,Aquacel Foam,209.44,9,1.698065856,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11656,Week 9,Diabetic Foot Ulcer,Avelle NPWT,40,1,0.9795918367,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11657,Week 9,Diabetic Foot Ulcer,Duoderm CGF,131.44,10,0.8236735831,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11658,Week 9,Diabetic Foot Ulcer,Duoderm ET,4,1,0.4652478702,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11659,Week 9,Diabetic Foot Ulcer,Duoderm Gel,111.69,8,0.9515484246,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11660,Week 10,Diabetic Foot Ulcer,Flexi-DRESS,25,1,3.313253012,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11661,Week 10,Diabetic Foot Ulcer,Saf-Gel,257.88,10,1.949448825,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11662,Week 10,Diabetic Foot Ulcer,Duoderm CGF,157.73,12,0.8236840273,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11663,Week 10,Diabetic Foot Ulcer,Aquacel Ag+ Extra,290.73,18,1.227406832,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11664,Week 10,Diabetic Foot Ulcer,Aquacel Ag Foam,225.88,11,1.524775088,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11665,Week 10,Diabetic Foot Ulcer,Duoderm Gel,126.13,7,1.228080813,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
